date,cityGatePrice,residentialPrice,residentialFromCO,commercialPrice,commercialFromCO,industrialPrice,industrialFromCO,electricPowerConsumersPrice
Feb 2014,5.99,7.84,100,7.50,95.4,6.67,8.6,
Nov 1995,2.56,4.52,,3.87,93.5,,,
Nov 1993,2.9,4.55,,4.13,94.1,,,
May 2008,9.17,12.75,100,10.47,92,7.59,0.5,9.45
Jan 1998,2.97,4.58,,4.34,95.4,,,
Aug 1996,2.29,6.74,,4.03,87.1,,,
May 2003,5.76,8.22,100,6.79,93,4.15,0.8,
Mar 2017,3.65,7.92,100,7.09,94.1,5.60,7.2,
Jul 2013,7.26,13.67,100,9.76,90.9,7.53,4.4,
Dec 2000,5.13,6.71,,6.23,96.1,,,
Jul 2016,5.16,13.96,100,8.36,91.2,6.17,4.6,
Apr 1996,2.94,4.27,,3.69,93.1,,,
Aug 2011,6.46,13.89,100,9.64,94.2,8.24,5.5,5.09
Mar 2008,7.45,9.54,100,8.91,94.4,6.60,0.7,8.67
Dec 1999,2.27,5.28,,4.78,98.1,,,
May 1989,3.36,4.82,,4.09,97.3,,,
Feb 2003,3.93,4.45,100,4.13,95.2,8.22,0,3.80
Mar 1991,2.82,4.39,,3.98,96.1,,,
Aug 2001,3.18,13.50,,9.79,100,6.64,2.8,
Apr 2002,2.87,6.13,100,5.12,96.4,5.13,1.1,2.91
Mar 2011,4.85,8.14,100,7.60,94.2,6.29,8.3,5.28
Nov 2017,3.88,7.39,100,6.87,94.9,5.18,8,
Jun 1993,3.59,5.12,,4.10,95.5,,,
Jan 1993,2.8,4.18,,3.89,96.6,,,
Apr 2001,5.21,9.46,,8.99,98.2,7.40,0.2,
Aug 2017,4.65,13.78,100,9.16,91.5,5.91,5.4,
Feb 1991,2.69,4.29,,3.95,97.1,,,
Jul 2010,6.1,11.26,100,7.98,93.4,5.20,2.6,4.94
Jul 1990,3.4,5.91,,4.30,94.7,,,
Aug 1990,3.39,6.01,,4.34,94.5,,,
Aug 2002,1.59,9.63,100,5.77,96,4.21,3.3,2.22
Dec 2005,8.27,10.88,100,10.44,94.7,11.41,0.7,9.77
Dec 1990,2.79,4.33,,3.91,97,,,
May 1990,3.19,4.60,,4.00,97.3,,,
Oct 2010,5.19,9.36,100,8.10,94.3,6.49,5,4.52
May 1996,2.5,4.49,,3.64,92.4,,,
Mar 2006,7.52,9.78,100,9.48,94.6,12.54,0.2,6.58
Sep 1989,3.09,5.81,,4.31,95.8,,,
Aug 2009,4.75,12.45,100,8.05,95.1,7.34,0.5,3.93
Jul 1993,3.35,5.69,,4.23,93,,,
Jul 2000,4.05,8.07,,5.52,96.4,,,
Oct 2006,5.55,7.10,100,6.23,96.6,10.51,0.3,4.62
Apr 1991,2.93,4.51,,4.02,96.2,,,
Nov 2012,4.49,7.62,100,7.68,92.5,5.33,7.6,
Dec 1989,2.79,4.49,,4.04,97.2,,,
Aug 1995,3.84,6.71,,4.70,89.7,,,
Mar 1999,1.84,5.00,,4.41,98.3,,,
Apr 1999,1.14,5.14,,4.45,97.2,,,
Sep 2017,5.1,12.16,100,9.35,91,5.77,6.2,
Jun 2014,6.27,12.81,100,9.72,92,7.75,5.4,
Feb 2015,4.24,7.97,100,7.45,95.2,6.15,9.2,
Oct 2011,5.45,9.28,100,8.14,93.5,6.66,6.9,4.67
Jun 2016,4.22,12.46,100,7.63,91.7,5.46,5.3,
Jan 1992,2.67,4.25,,3.92,96.7,,,
Jun 1995,2.96,5.12,,4.42,95.5,,,
Apr 2013,4.71,7.60,100,7.09,94.2,5.68,6.9,
Sep 2013,7.63,12.34,100,8.88,91.4,7.35,4.9,
Jan 1997,4.2,4.02,,3.53,94.6,,,
May 1998,2.46,5.33,,4.58,95,,,
Sep 1997,2.66,7.16,,4.01,90.2,,,
Dec 1993,3.17,4.56,,4.24,95.9,,,
Aug 1999,2.56,7.81,,4.75,95.7,,,
Jun 1989,3.6,5.20,,4.19,97.3,,,
Jun 2007,5.49,10.80,100,8.03,90.3,7.11,0.8,3.59
Jul 2009,6.24,12.00,100,7.50,94.4,7.48,0.4,3.72
Sep 1994,3.66,6.66,,4.61,93.1,,,
Jan 1996,2.08,4.08,,3.71,94.5,,,
May 2002,2.38,7.07,100,5.24,95.8,4.85,1.9,2.71
Jul 2015,5.33,14.38,100,9.41,91,7.39,3.5,
Mar 2015,4.45,8.50,100,7.87,94.8,6.20,8.8,
Aug 1992,3.61,6.06,,4.38,93.3,,,
Oct 1998,2.24,5.85,,3.94,87.5,,,
Nov 1990,2.9,4.55,,3.92,97,,,
Oct 2015,4.6,9.31,100,7.73,93.1,6.03,6.5,
Dec 1996,4.91,3.94,,3.32,94.3,,,
Apr 2017,3.66,8.03,100,6.97,92.9,5.19,7.3,
Apr 2000,2.82,5.44,,4.87,98.8,,,
Jun 2017,4.68,12.67,100,9.01,90.8,6.08,5.1,
May 1992,3.45,4.96,,4.16,95.1,,,
May 2012,5.02,10.33,100,8.41,89.7,6.29,3.4,
Aug 2012,5.81,12.89,100,8.70,90.8,7.32,3.3,
Mar 1993,2.57,4.26,,3.96,96.5,,,
Feb 2017,3.91,7.44,100,6.91,94.4,5.48,8.7,
Apr 2003,4.21,7.37,100,6.83,94.1,4.13,1.2,3.46
Jan 2011,4.7,7.47,100,8.07,94.7,6.06,8.9,5.23
Dec 2002,3.28,4.64,100,4.13,96.9,6.17,0.6,3.25
Jun 1991,3.56,5.42,,4.25,97.2,,,
Jun 2001,3.21,11.38,,9.42,100,6.77,1.2,
Apr 2014,5.38,9.30,100,8.43,93.1,6.94,7.3,6.06
Jun 2015,5.2,11.28,100,8.39,93.1,6.58,4.2,
Jan 2006,9.53,12.88,100,12.34,97.1,14.68,0.1,8.93
Apr 1995,3.04,4.78,,4.29,94.3,,,
Oct 1995,2.41,5.24,,4.27,89.8,,,
Jul 2008,9.84,15.09,100,11.11,93.4,9.94,0.5,9.26
Jun 2006,6.52,12.76,100,9.06,91.8,11.45,1.5,5.34
Mar 2007,7.16,9.56,100,8.82,93.5,10.70,0.1,6.67
Oct 2000,4.24,7.53,,5.93,93.1,,,
Apr 2012,4.54,8.21,100,7.27,90,4.50,6.4,4.02
Mar 1989,2.92,4.33,,3.96,98.3,,,
May 2005,4.62,10.68,100,9.31,94.5,8.19,0.6,
Feb 2007,7.58,9.11,100,8.67,93.9,10.42,0.1,7.12
Apr 2015,4.11,8.07,100,8.18,93.6,5.49,7.5,
Aug 2013,6.27,14.02,100,9.87,90.6,7.50,3.8,
Mar 2000,2.31,5.23,,4.74,98.3,,,
May 2001,3.94,10.00,,9.28,98.2,6.89,0.6,
Jun 1990,3.46,5.09,,4.15,97.4,,,
Nov 2011,4.54,7.59,100,7.69,94.2,5.74,8.5,4.17
Feb 2002,2.58,4.92,100,4.41,96.7,7.76,0.1,2.56
Feb 2011,4.93,7.56,100,7.88,94.5,6.26,9,5.46
Aug 2003,2.79,10.20,100,7.04,94.8,3.95,3,4.56
May 2000,2.91,6.05,,5.02,98.7,,,
Feb 2004,5.53,7.49,100,6.67,95,9.91,0.1,5.49
Mar 2014,5.9,8.21,100,7.78,94.7,7.00,8.9,6.26
Jan 1990,2.85,4.34,,3.98,98.1,,,
Jan 1991,2.64,4.23,,3.92,96.8,,,
Mar 1996,2.16,4.16,,3.84,93.8,,,
Jul 1994,3.82,6.50,,4.69,91.2,,,
Jan 2009,6.06,8.76,100,8.34,95.6,7.48,0.6,5.19
Nov 2005,8.07,12.64,100,11.82,96.4,9.99,0.5,10.13
Nov 2003,4.35,7.46,100,7.04,99.6,7.97,0.4,3.97
Dec 2006,6.79,9.38,100,9.07,95.7,11.16,0.1,6.15
Aug 2007,5.64,13.69,100,8.76,95,6.96,1.5,3.93
May 1995,2.41,4.86,,4.34,95.1,,,
Oct 2014,5.84,10.06,100,8.48,93.1,7.16,6.6,4.87
Jan 2012,3.96,7.65,100,7.15,93.4,5.83,8.9,
Feb 2006,8.31,10.64,100,10.24,97.5,14.86,0.1,7.14
Jun 2008,9.8,15.87,100,11.57,93.8,10.17,0.5,9.48
Oct 2001,2.28,10.16,,8.13,97.9,5.59,0.4,
Aug 1997,2.41,6.95,,4.70,83.1,,,
Mar 2013,4.43,7.21,100,6.84,95.1,5.62,8.5,
Jul 2003,3.12,10.50,100,7.12,95.7,4.00,1.9,4.64
Nov 2009,4.57,8.31,100,7.58,95.4,7.15,0.6,4.95
Oct 2007,4.27,7.81,100,6.67,98.9,6.58,0.2,2.37
Feb 1996,2.18,4.08,,3.69,95.5,,,
Feb 1992,2.6,4.30,,3.94,96.7,,,
Oct 2013,5.02,8.73,100,8.41,94,6.79,6,
Dec 1995,2.6,4.29,,3.78,93.8,,,
Dec 1994,2.98,4.58,,4.28,95.5,,,
Nov 2006,7.16,9.10,100,8.66,95.2,10.89,0.1,6.52
May 2009,3.81,8.84,100,7.71,94.6,7.51,0.2,3.84
Aug 2010,5.78,11.51,100,7.25,93.6,5.72,2.9,4.56
Feb 2012,3.64,7.76,100,7.55,92,5.74,10.6,
Sep 2003,4.43,8.65,100,6.70,94.8,4.00,2.7,4.49
Jan 2010,5.61,7.82,100,7.69,94.6,6.16,8.3,6.62
Jul 2004,3.75,10.99,100,8.06,93.9,6.49,1.5,5.66
Feb 2000,2.99,5.18,,4.81,98.1,,,
Jun 2013,6.78,11.53,100,8.62,92.6,7.08,5.8,
Jan 1995,2.63,4.51,,4.23,95.9,,,
Jun 1998,2.43,16.25,,4.84,91.6,,,
Mar 1994,3.57,4.64,,4.29,95.7,,,
May 2006,7.65,11.21,100,9.08,92,11.52,1.1,5.77
Jan 2008,6.72,8.51,100,8.25,96.4,7.11,0.7,6.67
Aug 2016,4.81,14.22,100,9.27,89.4,6.31,4.3,
Mar 1998,2.45,4.57,,4.33,96.1,,,
May 2016,3.25,7.06,100,6.15,93.3,4.25,7.2,
Aug 2006,7.57,13.37,100,9.33,95.4,11.37,2,6.52
Dec 2014,4.92,8.15,100,7.82,95.8,6.22,9.6,5.21
Jul 1989,4.16,5.70,,4.32,95,,,
Sep 2001,2.89,13.00,,9.70,100,6.70,1.7,
Nov 1992,2.74,4.50,,3.91,93.7,,,
Oct 1990,3.06,5.34,,4.16,94.6,,,
May 1994,3.62,5.06,,4.37,95.3,,,
Nov 1999,3.52,5.80,,4.70,98,,,
Oct 1993,3.55,5.03,,4.18,90.6,,,
Jul 2007,5.86,10.69,100,7.70,95.7,6.98,1.3,4.01
Jul 1999,2.35,7.36,,4.77,95.7,,,
Jun 2012,5.39,12.86,100,8.68,92.1,6.15,6,
Dec 2009,4.98,7.87,100,7.34,94.2,6.49,0.5,5.81
Oct 1996,2.58,4.99,,3.69,89.1,,,
Feb 1998,2.56,4.65,,4.37,95.1,,,
Jan 2014,4.88,7.66,100,7.39,95.4,6.28,9.4,
Mar 2001,4.75,8.96,,8.47,85.7,10.38,0,
Mar 2003,4.9,5.58,100,5.19,94.8,4.75,0.3,5.12
Mar 2012,4.07,8.63,100,7.32,92.7,6.08,7.8,
Feb 2009,5.38,8.92,100,7.44,95,5.87,0.8,4.19
Apr 1997,2.52,4.71,,3.98,93.9,,,
Nov 1991,2.69,4.62,,4.04,94.7,,,
Aug 2004,2.58,11.26,100,8.00,91.6,5.88,2.3,6.16
Jul 2002,1.95,9.40,100,5.84,95.3,4.30,2.1,1.91
Dec 1997,2.57,4.73,,4.43,93,,,
Dec 2001,2.93,5.32,,4.84,100,5.12,0.1,
Nov 1998,2.18,5.28,,3.86,94,,,
Sep 1993,3.14,5.58,,4.05,95.2,,,
Apr 1992,2.75,4.52,,4.01,95.7,,,
Mar 2016,3.43,6.68,100,5.92,94.6,4.95,8.9,
Mar 1995,2.56,4.60,,4.28,95.1,,,
Nov 2007,5.52,7.97,100,7.45,98.8,6.04,0.2,4.41
Sep 2008,6.24,10.79,100,9.24,94,15.93,0.4,3.42
May 2004,4.76,9.43,100,7.43,90.8,6.59,0.8,5.59
Sep 2005,4.2,13.50,100,10.38,95.1,8.56,0.5,8.46
Sep 2000,3.32,9.36,,6.13,99.1,,,
Feb 1994,3.17,4.59,,4.27,96.1,,,
Oct 1992,2.98,5.37,,4.19,91.2,,,
Sep 1995,2.89,6.62,,4.76,89.3,,,
Jul 1996,2.3,6.23,,3.91,88,,,
Dec 2008,6.07,8.81,100,8.50,96.2,9.01,0.5,5.54
Dec 2004,6.17,8.87,100,8.33,93,10.51,0,6.45
Nov 2014,4.61,8.08,100,7.92,95.7,6.51,9.7,
Sep 2012,5.49,11.40,100,8.43,91,5.97,4,
Nov 1997,3.59,5.18,,4.39,89.8,,,
Jan 2004,5.21,7.43,100,6.89,99.6,9.06,0.1,5.73
Oct 1999,2.46,6.21,,4.66,97.8,,,
Oct 1991,2.9,5.43,,4.25,92.3,,,
Nov 2000,4.04,7.25,,6.37,95.7,,,
Dec 1998,2.74,4.94,,4.21,95.2,,,
Jun 2004,3.34,10.42,100,7.90,92.8,6.58,1.5,5.85
Sep 2014,6.14,13.58,100,10.45,91.4,7.58,5.5,
Jul 2014,6.95,15.45,100,11.01,90.8,7.70,4.4,
Sep 2002,1.7,8.04,100,5.33,96.3,4.40,1.7,2.06
Oct 1994,2.83,5.83,,4.75,91.5,,,
Dec 1991,2.66,4.35,,3.97,96.3,,,
Jan 2017,3.92,6.86,100,6.56,94.8,5.37,8.6,
Jul 2006,9.4,13.19,100,9.66,94.9,11.38,1.6,5.75
Apr 1989,3.19,4.54,,4.02,97.8,,,
Sep 2004,3.53,10.06,100,7.59,95.7,6.51,2,4.82
Apr 2006,7.83,9.94,100,9.09,91.3,12.11,0.6,5.85
Sep 2009,5.09,10.63,100,8.26,94.9,7.87,0.4,3.79
Feb 2016,3.23,6.45,100,5.96,94.7,4.50,9.6,
May 2022,7.51,13.73,100,11.23,91.6,10.09,11.1,8.16
May 2021,3.9,10.61,100,8.50,92.5,7.02,9.1,
Jul 2022,7.96,22.31,100,16.31,90,13.67,8.8,
Oct 2021,6.05,12.14,100,10.04,93.4,10.00,7.6,
Feb 2021,18.69,6.61,100,6.20,95,5.54,9.4,
Apr 2021,3.49,9.16,100,7.79,93.4,4.25,8,
Jan 2021,3.06,6.70,100,6.06,95.2,5.26,11.1,
Aug 2021,5.49,15.29,100,10.67,91.2,8.77,7.1,
Jan 2022,5.45,9.61,100,9.01,95.3,6.81,12,
Nov 2021,5.65,10.79,100,9.74,94.5,8.45,10.3,
Feb 2022,5.27,9.85,100,9.13,94.5,7.01,9.8,
Jul 2021,4.94,16.06,100,10.37,91.8,9.40,6.3,
Mar 2022,5.2,10.18,100,9.31,95,7.32,10.2,
Sep 2021,5.97,15.34,100,11.07,91.2,8.99,6.3,
Apr 2022,5.56,11.82,100,10.51,92.7,8.31,10.9,
Jun 2022,9.25,16.10,100,12.36,91.2,11.21,8.3,
Dec 2021,4.97,10.22,100,9.43,95.4,8.65,10.6,
Mar 2021,4.11,7.24,100,6.55,95,5.57,12.9,
Jun 2021,4.51,12.36,100,9.19,92.1,9.08,5.9,
Aug 2022,9.34,22.27,100,15.37,90.9,13.86,7.2,
Sep 2022,9.45,21.80,100,16.61,90.9,14.26,8.3,
Nov 2022,6.45,15.57,100,13.70,95.1,12.69,11.4,
Dec 2022,8.65,13.05,100,11.76,95.8,10.05,13.1,8.48
Oct 2022,6.87,17.68,100,15.18,93.5,14.59,8,
Jan 2023,9.83,13.27,100,12.04,95.8,11.59,14.3,
